"country","date","people_fully_vaccinated","people_vaccinated","people_fully_vaccinated","daily_vaccinations","population","continent","cumsum_total_vaccination","people_fully_vaccinated_per_million","people_vaccinated_per_million","daily_vaccinated_per_million"
"Seychelles",2021-03-14,594018.666666667,960058.666666667,594018.666666667,768,98789,"Africa",335683.109090909,6013004.14688545,9718274.9766337,7774.14489467451
"Seychelles",2021-03-15,27442,62067,27442,720,98789,"Africa",336403.109090909,277783.963801638,628278.452054378,7288.26083875735
"Seychelles",2021-03-16,603737.666666667,992185.333333333,603737.666666667,546,98789,"Africa",336949.109090909,6111385.54562418,10043479.8746149,5526.93113605766
"Seychelles",2021-03-17,615187,1003528.33333333,615187,372,98789,"Africa",337321.109090909,6227282.38973975,10158300.3505788,3765.60143335797
"Seychelles",2021-03-18,27693,62457,27693,292,98789,"Africa",337613.109090909,280324.732510705,632226.260008705,2955.79467349604
"Singapore",2021-01-11,90566.2857142857,3400,90566.2857142857,2351,5883682,"Asia",290665.812121212,15392.7907242923,577.86943617959,399.579718958299
"Singapore",2021-01-12,94113.2857142857,6200,94113.2857142857,2800,5883682,"Asia",293465.812121212,15995.6445155067,1053.76191303337,475.89247685378
"Singapore",2021-01-13,96358.6428571429,24363.5,96358.6428571429,4090,5883682,"Asia",297555.812121212,16377.2690055552,4140.85941422395,695.142939404271
"Singapore",2021-01-14,97595.9285714286,42167.3333333333,97595.9285714286,4520,5883682,"Asia",302075.812121212,16587.560063822,7166.82739368534,768.226426921101
"Singapore",2021-01-15,98639.8571428571,33018.5,98639.8571428571,4735,5883682,"Asia",306810.812121212,16764.9878329347,5611.87705249876,804.768170679517
"Singapore",2021-01-16,99315.2142857143,35199.5,99315.2142857143,4864,5883682,"Asia",311674.812121212,16879.7726127473,5982.56329964808,826.693216934566
"Singapore",2021-01-17,2475.33333333333,103760.6,2475.33333333333,4950,5883682,"Asia",316624.812121212,420.711611085258,17635.3174763694,841.309914437932
"Singapore",2021-01-18,1408,114387.6,1408,5011,5883682,"Asia",321635.812121212,239.305931217901,19441.4993876284,851.677571969389
"Singapore",2021-01-19,1824.75,45152.5,1824.75,5380,5883682,"Asia",327015.812121212,310.137427549619,7674.19109326439,914.393401954762
"Singapore",2021-01-20,2546.75,49755,2546.75,5380,5883682,"Asia",332395.812121212,432.849701938344,8456.43935209279,914.393401954762
"Singapore",2021-01-21,3088.5,90289.3333333333,3088.5,5380,5883682,"Asia",337775.812121212,524.926398129607,15345.719454813,914.393401954762
"Singapore",2021-01-22,3313,60000,3313,5380,5883682,"Asia",343155.812121212,563.082777077347,10197.695932581,914.393401954762
"Singapore",2021-01-23,3361.75,59142,3361.75,6127,5883682,"Asia",349282.812121212,571.368405022569,10051.8688807451,1041.3547163154
"Singapore",2021-01-24,3400.5,139220.666666667,3400.5,6874,5883682,"Asia",356156.812121212,577.954416979028,23662.167103298,1168.31603067603
"Singapore",2021-01-25,5250.75,63244,5250.75,7621,5883682,"Asia",363777.812121212,892.425865299994,10749.0513593359,1295.27734503666
"Singapore",2021-01-26,5576.75,68141.5,5576.75,8369,5883682,"Asia",372146.812121212,947.833346533684,11581.4382898328,1422.40862099617
"Singapore",2021-01-27,50,113000,50,9116,5883682,"Asia",381262.812121212,8.49807994381749,19205.6606730275,1549.36993535681
"Singapore",2021-01-28,7047,78745.5,7047,9847,5883682,"Asia",391109.812121212,1197.71938728164,13383.7110843176,1673.61186413542
"Singapore",2021-01-29,8933.25,84519,8933.25,10579,5883682,"Asia",401688.812121212,1518.30945316215,14364.9843754302,1798.02375451291
"Singapore",2021-01-30,8974.5,238837.333333333,8974.5,10563,5883682,"Asia",412251.812121212,1525.3203691158,40593.1750446971,1795.30436893088
"Singapore",2021-01-31,50,155000,50,10547,5883682,"Asia",422798.812121212,8.49807994381749,26344.0478258342,1792.58498334886
"Singapore",2021-02-01,11420,91804.5,11420,10885,5883682,"Asia",433683.812121212,1940.96145916792,15603.2396040439,1850.03200376907
"Singapore",2021-02-02,6000,175000,6000,11223,5883682,"Asia",444906.812121212,1019.7695932581,29743.2798033612,1907.47902418927
"Singapore",2021-02-03,9112.5,101902,9112.5,11046,5883682,"Asia",455952.812121212,1548.77506976074,17319.4268486978,1877.39582118816
"Singapore",2021-02-04,20210.5,292701.333333333,20210.5,10886,5883682,"Asia",466838.812121212,3435.00889409047,49747.9866065728,1850.20196536794
"Singapore",2021-02-05,25410,302102.333333333,25410,10725,5883682,"Asia",477563.812121212,4318.72422744805,51345.7955976094,1822.83814794885
"Singapore",2021-02-06,16359,111822,16359,10564,5883682,"Asia",488127.812121212,2780.40179601821,19005.4459095512,1795.47433052976
"Singapore",2021-02-07,26021.5,305559.666666667,26021.5,10404,5883682,"Asia",498531.812121212,4422.65574516094,51933.4094987912,1768.28047470954
"Singapore",2021-02-08,19499,115672.5,19499,9889,5883682,"Asia",508420.812121212,3314.08121648995,19659.8830460246,1680.75025128822
"Singapore",2021-02-09,24629,119336.5,24629,9375,5883682,"Asia",517795.812121212,4185.98421872562,20282.6223443075,1593.38998946578
"Singapore",2021-02-10,6000,250000,6000,9375,5883682,"Asia",527170.812121212,1019.7695932581,42490.3997190875,1593.38998946578
"Singapore",2021-02-11,34766,126323,34766,9893,5883682,"Asia",537063.812121212,5908.88494653518,21470.0590548571,1681.43009768373
"Singapore",2021-02-12,83421.6666666667,384972,83421.6666666667,10411,5883682,"Asia",547474.812121212,14178.4798475966,65430.4566426262,1769.47020590168
"Singapore",2021-02-13,38329,134039,38329,10929,5883682,"Asia",558403.812121212,6514.45812333161,22781.4827517871,1857.51031411963
"Singapore",2021-02-14,102454.666666667,426254.666666667,102454.666666667,11446,5883682,"Asia",569849.812121212,17413.3589590101,72446.9246751722,1945.3804607387
"Singapore",2021-02-15,42960,142708,42960,11964,5883682,"Asia",581813.812121212,7301.55028772799,24254.8798524461,2033.42056895665
"Singapore",2021-02-16,47001.5,145203.5,47001.5,12482,5883682,"Asia",594295.812121212,7988.45008958676,24679.0190224421,2121.4606771746
"Singapore",2021-02-17,50698.5,147995.5,50698.5,13000,5883682,"Asia",607295.812121212,8616.79812063262,25153.5518065048,2209.50078539255
"Singapore",2021-02-18,110000,250000,110000,13000,5883682,"Asia",620295.812121212,18695.7758763985,42490.3997190875,2209.50078539255
"Singapore",2021-02-19,58462.5,154270,58462.5,13286,5883682,"Asia",633581.812121212,9936.3799743086,26219.9758586545,2258.10980267118
"Singapore",2021-02-20,80576.5,503539.6,80576.5,13572,5883682,"Asia",647153.812121212,13694.9107718602,85582.3955135577,2306.71881994982
"Singapore",2021-02-21,58604,160866,58604,13859,5883682,"Asia",661012.812121212,9960.42954054961,27341.0425648429,2355.49779882733
"Singapore",2021-02-22,87675,519753,87675,14145,5883682,"Asia",675157.812121212,14901.383181484,88338.0509007795,2404.10681610597
"Singapore",2021-02-23,66220,168360,66220,14431,5883682,"Asia",689588.812121212,11254.8570775919,28614.7347868223,2452.71583338461
"Singapore",2021-02-24,239706.333333333,482573,239706.333333333,14717,5883682,"Asia",704305.812121212,40740.8716741206,82018.8786545568,2501.32485066324
"Singapore",2021-02-25,73629,175239.5,73629,15004,5883682,"Asia",719309.812121212,12514.1025636668,29783.9856062921,2550.10382954075
"Singapore",2021-02-26,257534.666666667,497244,257534.666666667,15004,5883682,"Asia",734313.812121212,43771.0037127545,84512.3852716717,2550.10382954075
"Singapore",2021-02-27,78617.5,183018,78617.5,15004,5883682,"Asia",749317.812121212,13361.9559996614,31106.0319031518,2550.10382954075
"Singapore",2021-02-28,259790.333333333,518703,259790.333333333,15004,5883682,"Asia",764321.812121212,44154.3804259532,88159.5912219593,2550.10382954075
"Singapore",2021-03-01,207324,317715,207324,15004,5883682,"Asia",779325.812121212,35237.1185254404,53999.3493869995,2550.10382954075
"Singapore",2021-03-02,278669.666666667,541841.333333333,278669.666666667,14763,5883682,"Asia",794088.812121212,47363.1421050061,92092.2193506266,2509.14308421155
"Singapore",2021-03-03,93136.5,193865.5,93136.5,14523,5883682,"Asia",808611.812121212,15829.6284537472,32949.690346963,2468.35230048123
"Singapore",2021-03-04,215000,350000,215000,14282,5883682,"Asia",822893.812121212,36541.7437584152,59486.5596067225,2427.39155515203
"Singapore",2021-03-05,316258.333333333,569315.666666667,316258.333333333,13615,5883682,"Asia",836508.812121212,53751.771991303,96761.8009720217,2314.0271687015
"Singapore",2021-03-06,326447,581121,326447,12948,5883682,"Asia",849456.812121212,55483.4540683878,98768.2543006233,2200.66278225098
"Singapore",2021-03-07,217000,379000,217000,12281,5883682,"Asia",861737.812121212,36881.6669561679,64415.4459741366,2087.29839580045
"Singapore",2021-03-08,218694,392620,218694,12325,5883682,"Asia",874062.812121212,37169.5819046645,66730.3229508325,2094.77670615101
"Singapore",2021-03-09,338632.333333333,624198,338632.333333333,14118,5883682,"Asia",888180.812121212,57554.4928045624,106089.69009542,2399.51785293631
